interaction_id,applicant_id,job_id,interaction_type,timestamp,detail
0dd9ee28-c733-41ab-a19c-8ec0eb3dafe5,aa8fc01d-bd91-42b5-a8dd-58c9aa90d454,job_sol_001,save,2026-09-03T19:47:39.771Z,
aa52db4a-2156-467a-a3fb-b51c69380b38,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:51.401Z,
aadbc0ed-b1bb-4299-9e0a-58b75f67e699,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:51.424Z,
47b8c406-33ef-4e54-83c1-ab81f627b778,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:52.304Z,
5284ef69-f087-46dc-9aa6-1d01d531e541,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:52.741Z,
4705293a-80e2-411c-9b0a-fa78c289270f,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:53.290Z,
d935df68-290f-4cf6-991c-f806935ba78e,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:53.780Z,
323b8768-c288-4efa-844f-efb46c1d67c3,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:54.319Z,
20fe1920-7ecb-4208-85ab-6f3f3b0fad63,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:54.861Z,
17fededd-e770-40a6-a6e5-02b8cd77ce05,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:55.311Z,
b8bb9313-a969-486e-9698-12c08438b323,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:55.837Z,
23d2629b-c19f-4b56-bc08-0f10e4d96f83,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:56.744Z,
d0cc8774-74f5-46fa-827a-78afd4ddbb1f,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:57.467Z,
811b4382-1ef9-4f5b-acc9-b08c4c9e681d,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:57.932Z,
fe806348-dab2-4ead-883c-6061f99384f2,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:58.447Z,
7aba5803-b4bc-4bb8-a69e-93b37cbc74d7,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:58.964Z,
e9ba4188-237a-4cef-b5de-5359440f5d73,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:22:59.474Z,
51e3b91b-c6e0-41ac-b6b9-f163be22ed48,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:23:00.088Z,
e555ea28-d3a8-4ce2-9d04-92e7a02123d6,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:23:00.523Z,
34e87332-c110-4f94-88f2-20de62e0acc1,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:23:01.680Z,
83081e48-c8b1-485e-b810-9e8ed03163a0,baaedf71-9bd7-48da-8120-c69651880dc7,job_sol_002,view,2026-09-04T13:23:02.212Z,
